iteration,ai_ratio,entropy,vocab_size
0,0.02056807051909892,4.368016581441299,1063
1,0.021526418786692758,4.367838515348558,1063
2,0.022482893450635387,4.367092480398239,1063
3,0.0234375,4.369088705604635,1066
4,0.024390243902439025,4.370500497211611,1066
5,0.025341130604288498,4.37024754261082,1066
6,0.02629016553067186,4.369985680277573,1066
7,0.027237354085603113,4.371174278857219,1066
8,0.028182701652089408,4.3708383736890495,1066
9,0.02912621359223301,4.370408617781569,1066
10,0.030067895247332686,4.3673554903464105,1066
11,0.031007751937984496,4.366997918803813,1066
12,0.031945788964181994,4.368041564410996,1066
13,0.03288201160541586,4.363977481074691,1066
14,0.033816425120772944,4.359264657174521,1066
15,0.03474903474903475,4.354068633260172,1066
16,0.03567984570877531,4.353679311250126,1066
17,0.036608863198458574,4.3533277240406925,1066
18,0.03753609239653513,4.352934921503674,1066
19,0.038461538461538464,4.353879858324825,1066
20,0.0393852065321806,4.353483065053718,1066
21,0.04030710172744722,4.353130174230239,1066
22,0.04122722914669223,4.352730045950172,1066
23,0.0421455938697318,4.347206152718943,1066
24,0.0430622009569378,4.346813287387246,1066
25,0.04397705544933078,4.346545177362035,1066
26,0.044890162368672396,4.34547257376731,1066
27,0.04580152671755725,4.345127405413522,1066
28,0.04671115347950429,4.343588495968147,1066
29,0.047619047619047616,4.343194032116198,1066
30,0.048525214081826834,4.342933354894929,1066
31,0.049429657794676805,4.34265394069804,1066
32,0.050332383665717,4.342371240895422,1066
33,0.051233396584440226,4.341975105244386,1066
34,0.052132701421800945,4.340118538214055,1066
35,0.05303030303030303,4.337997788139708,1066
36,0.05392620624408704,4.335657123177426,1066
37,0.054820415879017016,4.335408530470178,1066
38,0.05571293673276676,4.33508616812247,1066
39,0.05660377358490566,4.334760884881554,1066
40,0.057492931196983975,4.334432718737665,1066
41,0.0583804143126177,4.329046098799887,1066
42,0.059266227657572904,4.323397361998725,1066
43,0.06015037593984962,4.323024928294807,1066
